timestamp,date,hour,month,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,is_raining,rain_intensity,visibility_km,condition,demand_multiplier,city
2024-01-01 00:00:00,2024-01-01,0,1,11.7,61,23.9,0.0,False,none,11.2,clear,0.98,Bangalore
2024-01-01 01:00:00,2024-01-01,1,1,11.7,61,6.5,0.0,False,none,8.7,clear,0.98,Bangalore
2024-01-01 02:00:00,2024-01-01,2,1,15.2,54,18.1,0.0,False,none,9.7,clear,0.99,Bangalore
2024-01-01 03:00:00,2024-01-01,3,1,14.3,52,22.8,0.0,False,none,10.4,cloudy,1.1,Bangalore
2024-01-01 04:00:00,2024-01-01,4,1,15.7,71,15.3,0.0,False,none,10.9,clear,1.04,Bangalore
2024-01-01 05:00:00,2024-01-01,5,1,17.6,51,10.6,0.0,False,none,11.5,cloudy,1.03,Bangalore
2024-01-01 06:00:00,2024-01-01,6,1,21.1,60,23.9,0.0,False,none,11.5,cloudy,1.03,Bangalore
2024-01-01 07:00:00,2024-01-01,7,1,20.2,46,22.8,0.0,False,none,10.5,clear,0.94,Bangalore
2024-01-01 08:00:00,2024-01-01,8,1,21.3,77,22.2,0.0,False,none,10.5,partly_cloudy,0.98,Bangalore
2024-01-01 09:00:00,2024-01-01,9,1,22.8,63,9.7,2.5,True,light,8.1,rain_light,1.18,Bangalore
2024-01-01 10:00:00,2024-01-01,10,1,24.2,37,8.5,0.0,False,none,10.4,clear,1.02,Bangalore
2024-01-01 11:00:00,2024-01-01,11,1,23.7,58,10.1,0.0,False,none,10.1,clear,0.96,Bangalore
2024-01-01 12:00:00,2024-01-01,12,1,23.6,61,23.2,0.0,False,none,10.4,cloudy,1.01,Bangalore
2024-01-01 13:00:00,2024-01-01,13,1,24.7,67,11.8,0.0,False,none,8.0,partly_cloudy,1.01,Bangalore
2024-01-01 14:00:00,2024-01-01,14,1,22.0,64,21.2,0.0,False,none,8.2,clear,1.03,Bangalore
2024-01-01 15:00:00,2024-01-01,15,1,22.7,78,6.6,1.3,True,light,7.7,rain_light,1.2,Bangalore
2024-01-01 16:00:00,2024-01-01,16,1,21.8,61,20.2,0.0,False,none,9.7,clear,0.99,Bangalore
2024-01-01 17:00:00,2024-01-01,17,1,24.3,64,6.6,0.0,False,none,9.1,partly_cloudy,1.0,Bangalore
2024-01-01 18:00:00,2024-01-01,18,1,20.7,47,5.8,0.0,False,none,8.5,clear,1.04,Bangalore
2024-01-01 19:00:00,2024-01-01,19,1,15.2,64,13.9,0.7,True,light,9.0,rain_light,1.22,Bangalore
2024-01-01 20:00:00,2024-01-01,20,1,15.3,55,22.2,0.0,False,none,11.0,cloudy,1.04,Bangalore
2024-01-01 21:00:00,2024-01-01,21,1,15.3,82,15.3,0.0,False,none,11.8,clear,0.94,Bangalore
2024-01-01 22:00:00,2024-01-01,22,1,13.8,55,23.9,0.0,False,none,10.2,cloudy,1.07,Bangalore
2024-01-01 23:00:00,2024-01-01,23,1,10.4,57,18.5,0.0,False,none,10.0,clear,0.99,Bangalore
2024-01-02 00:00:00,2024-01-02,0,1,14.9,44,16.2,0.0,False,none,8.4,cloudy,1.01,Bangalore
2024-01-02 01:00:00,2024-01-02,1,1,13.1,61,8.2,0.0,False,none,11.2,clear,1.03,Bangalore
2024-01-02 02:00:00,2024-01-02,2,1,11.7,49,16.9,0.0,False,none,8.9,cloudy,1.03,Bangalore
2024-01-02 03:00:00,2024-01-02,3,1,13.7,55,12.8,0.0,False,none,8.3,partly_cloudy,1.0,Bangalore
2024-01-02 04:00:00,2024-01-02,4,1,14.5,71,22.9,0.0,False,none,9.8,partly_cloudy,0.97,Bangalore
2024-01-02 05:00:00,2024-01-02,5,1,17.9,52,7.3,1.6,True,light,7.2,rain_light,1.24,Bangalore
2024-01-02 06:00:00,2024-01-02,6,1,17.2,78,23.3,0.0,False,none,8.9,partly_cloudy,0.99,Bangalore
2024-01-02 07:00:00,2024-01-02,7,1,21.8,56,14.9,0.0,False,none,8.2,partly_cloudy,0.95,Bangalore
2024-01-02 08:00:00,2024-01-02,8,1,21.8,32,17.0,0.0,False,none,9.6,clear,1.02,Bangalore
2024-01-02 09:00:00,2024-01-02,9,1,22.8,66,7.6,0.0,False,none,10.7,partly_cloudy,1.04,Bangalore
2024-01-02 10:00:00,2024-01-02,10,1,25.6,65,12.4,0.0,False,none,9.1,clear,0.98,Bangalore
2024-01-02 11:00:00,2024-01-02,11,1,27.3,68,15.0,0.0,False,none,9.0,partly_cloudy,1.02,Bangalore
2024-01-02 12:00:00,2024-01-02,12,1,25.2,61,21.6,0.0,False,none,8.7,partly_cloudy,1.04,Bangalore
2024-01-02 13:00:00,2024-01-02,13,1,23.2,59,18.3,0.0,False,none,10.0,partly_cloudy,1.02,Bangalore
2024-01-02 14:00:00,2024-01-02,14,1,25.0,39,16.6,0.0,False,none,8.6,clear,1.01,Bangalore
2024-01-02 15:00:00,2024-01-02,15,1,23.4,51,6.5,0.0,False,none,10.7,partly_cloudy,1.03,Bangalore
2024-01-02 16:00:00,2024-01-02,16,1,20.8,66,8.8,0.0,False,none,10.3,partly_cloudy,0.98,Bangalore
